"tinh","huyen","xa","diaban","hoso","m4b31ma","m4b31c3","m4b31c4","m4b31c5","m4b32c7","m4b32c8","m4b32c9","m4b32c10","m4b32c11","m4b32c12","m4b32c13","m4b32c14","m4b32c15","m4b32c16","m4b32c17"
"209","11","27","001",20,"Cµy xíi, lµm ®Êt",2,750,1500,0,0,500,0,100,0,0,0,0,0,600
"209","15","47","002",14,"Tuèt lóa, s¬ chÕ SP",2,300,600,0,40,50,60,60,0,0,0,0,0,210
"209","15","47","002",15,"Tuèt lóa, s¬ chÕ SP",2,160,320,0,0,32,0,30,0,0,0,0,0,62
"211","07","11","005",13,"Cµy xíi, lµm ®Êt",4,700,2800,0,150,0,0,450,0,0,0,0,0,600
"211","09","53","010",13,"Cµy xíi, lµm ®Êt",2,3000,6000,0,45,1340,0,172,0,0,0,0,0,1557
"211","09","65","005",15,"Cµy xíi, lµm ®Êt",1,700,700,0,10,90,120,200,0,0,0,0,0,420
"213","01","17","005",19,"Tuèt lóa, s¬ chÕ SP",1,4000,4000,0,20,640,250,70,0,1500,0,0,0,2480
"213","05","11","001",14,"Cµy xíi, lµm ®Êt",2,1110,2220,0,0,400,0,935,0,0,0,0,0,1335
"213","05","19","012",13,"Tuèt lóa, s¬ chÕ SP",2,575,1150,0,50,100,0,200,0,0,169,0,0,519
"213","07","27","007",14,"DV kh¸c",12,400,4800,909,50,480,0,150,0,0,0,0,0,1589
"213","07","39","001",13,"Tuèt lóa, s¬ chÕ SP",2,1875,3750,0,0,1002,350,783,0,0,0,0,0,2135
"213","11","07","004",14,"Cµy xíi, lµm ®Êt",4,710,2840,0,0,800,150,400,0,0,0,0,0,1350
"213","11","21","003",13,"DV kh¸c",12,905,10860,2400,360,1400,400,300,0,0,0,0,0,4860
"213","11","37","008",14,"Cµy xíi, lµm ®Êt",4,1000,4000,0,0,500,200,1000,0,0,0,0,30,1730
"215","07","05","002",14,"Cµy xíi, lµm ®Êt",2,1000,2000,0,100,400,100,300,0,0,0,0,0,900
"215","11","35","010",14,"T­íi tiªu n­íc",3,1200,3600,60,0,960,250,0,0,750,0,0,0,2020
"215","13","51","004",14,"Cµy xíi, lµm ®Êt",1,6000,6000,0,100,700,200,900,0,500,0,0,0,2400
"215","13","51","004",14,"DV kh¸c",1,400,400,0,10,0,0,0,0,0,0,0,0,10
"217","05","39","009",14,"Tuèt lóa, s¬ chÕ SP",2,5000,10000,0,45,1600,250,650,0,0,0,0,0,2545
